TimeCoordinate,Channel_1,Channel_2,Label
9,0.6804,0.9042,Extension
10,0.5982,0.7419,Extension
11,0.5924,0.7155,Extension
12,0.5679,0.6735,Extension
13,0.5728,0.6784,Extension
14,0.6197,0.7605,Extension
15,0.6061,0.7283,Extension
16,0.5914,0.7146,Extension
17,0.5982,0.7312,Extension
18,0.565,0.6676,Extension
19,0.5591,0.6598,Extension
-,-,-,-
0,0.5826,0.695,Extension
1,0.5963,0.7204,Extension
2,0.6002,0.7292,Extension
3,0.6178,0.7507,Extension
4,0.5963,0.7097,Extension
5,0.5562,0.6491,Extension
6,0.5455,0.6354,Extension
7,0.5455,0.6413,Extension
8,0.5689,0.6735,Extension
9,0.6022,0.7224,Extension
10,0.6315,0.7361,Extension
11,0.6149,0.7713,Extension
12,0.5728,0.7703,Extension
13,0.5611,0.6569,Extension
14,0.5562,0.694,Extension
15,0.6022,0.7312,Extension
16,0.6549,0.7996,Extension
17,0.6315,0.7595,Extension
18,0.5562,0.6559,Extension
19,0.5083,0.564,Extension
-,-,-,-
0,0.4761,0.5132,Extension
1,0.5083,0.566,Extension
2,0.5924,0.695,Extension
3,0.6334,0.7605,Extension
4,0.6041,0.7058,Extension
5,0.5396,0.6266,Extension
6,0.4712,0.5103,Extension
7,0.477,0.5073,Extension
8,0.5415,0.6207,Extension
9,0.6168,0.7664,Extension
10,0.7507,0.955,Extension
11,0.7322,0.9091,Extension
12,0.5728,0.6315,Extension
13,0.48,0.5327,Extension
14,0.5132,0.5836,Extension
15,0.5748,0.6862,Extension
16,0.5963,0.7077,Extension
17,0.5973,0.7263,Extension
18,0.5543,0.652,Extension
19,0.5122,0.5777,Extension
-,-,-,-
0,0.5064,0.5738,Extension
1,0.5376,0.6217,Extension
2,0.5337,0.61,Extension
3,0.522,0.5855,Extension
4,0.5269,0.5973,Extension
5,0.5034,0.5611,Extension
6,0.5122,0.5787,Extension
7,0.5494,0.6149,Extension
8,0.5738,0.6559,Extension
9,0.6579,0.694,Extension
