TimeCoordinate,Channel_1,Channel_2,Label
8,0.261,0.2434,Flexion
9,0.2639,0.26,Flexion
10,0.216,0.1848,Flexion
11,0.1828,0.1564,Flexion
12,0.1574,0.131,Flexion
13,0.1564,0.1251,Flexion
14,0.1662,0.1398,Flexion
15,0.176,0.1535,Flexion
16,0.1896,0.173,Flexion
17,0.2014,0.1838,Flexion
18,0.1799,0.1593,Flexion
19,0.1574,0.132,Flexion
-,-,-,-
0,0.1515,0.1212,Flexion
1,0.1623,0.1369,Flexion
2,0.1818,0.1623,Flexion
3,0.1955,0.1779,Flexion
4,0.2023,0.1789,Flexion
5,0.174,0.1505,Flexion
6,0.1515,0.1222,Flexion
7,0.1662,0.1427,Flexion
8,0.2102,0.2326,Flexion
9,0.2483,0.2326,Flexion
10,0.2102,0.2151,Flexion
11,0.1926,0.173,Flexion
12,0.172,0.1466,Flexion
13,0.1525,0.1271,Flexion
14,0.1593,0.1349,Flexion
15,0.1769,0.1535,Flexion
16,0.1828,0.1652,Flexion
17,0.1848,0.1662,Flexion
18,0.1808,0.1574,Flexion
19,0.1681,0.1447,Flexion
-,-,-,-
0,0.1593,0.1369,Flexion
1,0.1672,0.1437,Flexion
2,0.1828,0.1613,Flexion
3,0.176,0.1515,Flexion
4,0.1711,0.1476,Flexion
5,0.174,0.1496,Flexion
6,0.1711,0.1427,Flexion
7,0.176,0.1496,Flexion
8,0.1984,0.174,Flexion
9,0.2483,0.2063,Flexion
10,0.2287,0.2102,Flexion
11,0.1818,0.1486,Flexion
12,0.176,0.1476,Flexion
13,0.1818,0.1593,Flexion
14,0.1789,0.1623,Flexion
15,0.1808,0.1593,Flexion
16,0.1818,0.1593,Flexion
17,0.1681,0.1427,Flexion
18,0.1662,0.1417,Flexion
19,0.1779,0.1554,Flexion
-,-,-,-
0,0.1818,0.1623,Flexion
1,0.1789,0.1564,Flexion
2,0.1779,0.1544,Flexion
3,0.1779,0.1525,Flexion
4,0.1681,0.1417,Flexion
5,0.1623,0.1378,Flexion
6,0.1789,0.1515,Flexion
7,0.1799,0.1544,Flexion
8,0.2092,0.218,Flexion
9,0.2463,0.2317,Flexion
10,0.2356,0.3314,Flexion
11,0.216,0.2004,Flexion
12,0.1642,0.1466,Flexion
13,0.175,0.1505,Flexion
14,0.1779,0.1505,Flexion
15,0.176,0.1486,Flexion
16,0.1691,0.1447,Flexion
17,0.176,0.1525,Flexion
18,0.1691,0.1476,Flexion
19,0.1652,0.1427,Flexion
-,-,-,-
0,0.174,0.1505,Flexion
1,0.176,0.1515,Flexion
2,0.173,0.1505,Flexion
3,0.1799,0.1554,Flexion
4,0.1818,0.1593,Flexion
5,0.1701,0.1466,Flexion
6,0.1593,0.132,Flexion
7,0.1662,0.1369,Flexion
8,0.1769,0.1466,Flexion
9,0.1769,0.1505,Flexion
